SlNo,SIGNAL_NAME,SIGNAL_STATUS,SIGNAL_TIME
8446,01ATPR,Down,05/22/2025 02:25:38:125
8447,01BTPR,Up,05/22/2025 02:25:45:546
8448,111ATPR,Down,05/22/2025 02:27:06:531
8449,01ATPR,Up,05/22/2025 02:27:13:015
8450,01TPR,Up,05/22/2025 02:27:13:109
8451,111BTPR,Down,05/22/2025 02:27:36:546
8452,111ATPR,Up,05/22/2025 02:27:46:484
8453,111CTPR,Down,05/22/2025 02:28:00:078
8454,111BTPR,Up,05/22/2025 02:28:05:875
8455,103BTPR,Down,05/22/2025 02:29:07:546
8456,111CTPR,Up,05/22/2025 02:29:12:750
8457,101ATPR,Down,05/22/2025 02:29:58:859
8458,103BTPR,Up,05/22/2025 02:30:04:656
8459,04_14TPR,Down,05/22/2025 02:30:46:828
8460,101ATPR,Up,05/22/2025 02:30:54:593
8461,103NDKR,Down,05/22/2025 02:31:01:109
8462,103RDKR,Up,05/22/2025 02:31:04:750
8463,111RDKR,Down,05/22/2025 02:31:10:109
8464,111NDKR,Up,05/22/2025 02:31:13:015
8465,101ATPR,Down,05/22/2025 02:34:51:468
8466,04_14TPR,Up,05/22/2025 02:34:57:937
8467,103BTPR,Down,05/22/2025 02:35:36:703
8468,101ATPR,Up,05/22/2025 02:35:43:828
8469,103ATPR,Down,05/22/2025 02:36:07:281
8470,103BTPR,Up,05/22/2025 02:36:12:765
8471,105BTPR,Down,05/22/2025 02:36:36:531
8472,103ATPR,Up,05/22/2025 02:36:42:312
8473,105ATPR,Down,05/22/2025 02:37:12:875
8474,105BTPR,Up,05/22/2025 02:37:20:421
8475,107BTPR,Down,05/22/2025 02:37:37:953
8476,105ATPR,Up,05/22/2025 02:37:46:593
8477,107ATPR,Down,05/22/2025 02:38:05:000
8478,107BTPR,Up,05/22/2025 02:38:20:812
8479,107ATPR,Up,05/22/2025 02:39:06:015
